time,x,y,z
0,0,0.136525,1
0,0,-0.136525,1
0.001,0.0199868,0.136525,1.00003
0.001,0.0199868,-0.136525,1.00003
0.002,0.0399474,0.136525,1.00012
0.002,0.0399474,-0.136525,1.00013
0.003,0.0598822,0.136525,1.00027
0.003,0.0598821,-0.136525,1.00028
0.004,0.0797914,0.136525,1.00048
0.004,0.0797913,-0.136525,1.00049
0.005,0.0996755,0.136525,1.00074
0.005,0.0996753,-0.136525,1.00076
0.006,0.119535,0.136525,1.00105
0.006,0.119534,-0.136525,1.00108
0.007,0.139369,0.136525,1.00142
0.007,0.139369,-0.136525,1.00145
0.008,0.15918,0.136525,1.00184
0.008,0.159179,-0.136525,1.00188
0.009,0.178966,0.136525,1.00231
0.009,0.178966,-0.136525,1.00235
0.01,0.198729,0.136525,1.00283
0.01,0.198728,-0.136525,1.00287
0.011,0.218468,0.136525,1.0034
0.011,0.218468,-0.136525,1.00344
0.012,0.238184,0.136525,1.00401
0.012,0.238184,-0.136525,1.00406
0.013,0.257878,0.136525,1.00466
0.013,0.257877,-0.136525,1.00472
0.014,0.277548,0.136525,1.00536
0.014,0.277547,-0.136525,1.00542
0.015,0.297196,0.136525,1.0061
0.015,0.297195,-0.136525,1.00616
0.016,0.316822,0.136526,1.00688
0.016,0.316821,-0.136524,1.00694
0.017,0.336427,0.136526,1.0077
0.017,0.336425,-0.136524,1.00776
0.018,0.356009,0.136526,1.00855
0.018,0.356007,-0.136524,1.00862
0.019,0.37557,0.136526,1.00945
0.019,0.375568,-0.136524,1.00952
0.02,0.395109,0.136526,1.01038
0.02,0.395108,-0.136524,1.01045
0.021,0.414628,0.136526,1.01134
0.021,0.414626,-0.136524,1.01142
0.022,0.434126,0.136526,1.01234
0.022,0.434124,-0.136524,1.01242
0.023,0.453602,0.136527,1.01337
0.023,0.4536,-0.136523,1.01346
0.024,0.473059,0.136527,1.01443
0.024,0.473057,-0.136523,1.01452
0.025,0.492495,0.136527,1.01553
0.025,0.492493,-0.136523,1.01562
0.026,0.511911,0.136527,1.01665
0.026,0.511909,-0.136523,1.01675
0.027,0.531307,0.136527,1.01781
0.027,0.531304,-0.136523,1.0179
0.028,0.550683,0.136528,1.01899
0.028,0.55068,-0.136522,1.01909
0.029,0.57004,0.136528,1.0202
0.029,0.570037,-0.136522,1.0203
0.03,0.589377,0.136528,1.02144
0.03,0.589374,-0.136522,1.02154
0.031,0.608694,0.136528,1.0227
0.031,0.608691,-0.136522,1.0228
0.032,0.627993,0.136529,1.02399
0.032,0.62799,-0.136521,1.0241
0.033,0.647273,0.136529,1.0253
0.033,0.647269,-0.136521,1.02541
0.034,0.666533,0.136529,1.02664
0.034,0.66653,-0.136521,1.02675
0.035,0.685775,0.13653,1.02799
0.035,0.685772,-0.13652,1.02811
0.036,0.704999,0.13653,1.02938
0.036,0.704995,-0.13652,1.02949
0.037,0.724203,0.13653,1.03078
0.037,0.7242,-0.13652,1.0309
0.038,0.74339,0.136531,1.03221
0.038,0.743386,-0.136519,1.03233
0.039,0.762558,0.136531,1.03365
0.039,0.762555,-0.136519,1.03378
0.04,0.781709,0.136532,1.03512
0.04,0.781705,-0.136518,1.03524
0.041,0.800841,0.136532,1.0366
0.041,0.800837,-0.136518,1.03673
0.042,0.819955,0.136532,1.03811
0.042,0.819951,-0.136518,1.03824
0.043,0.839052,0.136533,1.03963
0.043,0.839048,-0.136517,1.03976
0.044,0.858131,0.136533,1.04117
0.044,0.858127,-0.136517,1.0413
0.045,0.877193,0.136534,1.04273
0.045,0.877189,-0.136516,1.04286
0.046,0.896237,0.136534,1.0443
0.046,0.896233,-0.136516,1.04444
0.047,0.915264,0.136535,1.04589
0.047,0.91526,-0.136515,1.04603
0.048,0.934273,0.136535,1.0475
0.048,0.934269,-0.136515,1.04764
0.049,0.953266,0.136536,1.04912
0.049,0.953262,-0.136514,1.04926
0.05,0.972242,0.136536,1.05076
0.05,0.972238,-0.136514,1.0509
0.051,0.9912,0.136537,1.05241
0.051,0.991196,-0.136513,1.05255
0.052,1.01014,0.136538,1.05408
0.052,1.01014,-0.136512,1.05422
0.053,1.02907,0.136538,1.05575
0.053,1.02906,-0.136512,1.0559
0.054,1.04798,0.136539,1.05745
0.054,1.04797,-0.136511,1.05759
0.055,1.06687,0.136539,1.05915
0.055,1.06686,-0.136511,1.05929
0.056,1.08574,0.13654,1.06087
0.056,1.08574,-0.13651,1.06101
0.057,1.1046,0.136541,1.0626
0.057,1.1046,-0.136509,1.06274
0.058,1.12345,0.136541,1.06434
0.058,1.12344,-0.136509,1.06448
0.059,1.14227,0.136542,1.06609
0.059,1.14227,-0.136508,1.06624
0.06,1.16108,0.136542,1.06785
0.06,1.16108,-0.136507,1.068
0.061,1.17988,0.136543,1.06963
0.061,1.17987,-0.136507,1.06977
0.062,1.19866,0.136544,1.07141
0.062,1.19865,-0.136506,1.07156
0.063,1.21742,0.136545,1.07321
0.063,1.21742,-0.136505,1.07335
0.064,1.23617,0.136545,1.07501
0.064,1.23616,-0.136505,1.07516
0.065,1.2549,0.136546,1.07682
0.065,1.25489,-0.136504,1.07697
0.066,1.27361,0.136547,1.07864
0.066,1.27361,-0.136503,1.07879
0.067,1.29231,0.136547,1.08048
0.067,1.29231,-0.136503,1.08062
0.068,1.311,0.136548,1.08231
0.068,1.31099,-0.136502,1.08246
0.069,1.32967,0.136549,1.08416
0.069,1.32966,-0.136501,1.08431
0.07,1.34832,0.13655,1.08602
0.07,1.34832,-0.1365,1.08617
0.071,1.36696,0.13655,1.08788
0.071,1.36695,-0.1365,1.08803
0.072,1.38558,0.136551,1.08975
0.072,1.38558,-0.136499,1.0899
0.073,1.40419,0.136552,1.09163
0.073,1.40418,-0.136498,1.09178
0.074,1.42278,0.136553,1.09352
0.074,1.42278,-0.136497,1.09366
0.075,1.44136,0.136554,1.09541
0.075,1.44135,-0.136496,1.09556
0.076,1.45992,0.136554,1.09731
0.076,1.45992,-0.136495,1.09745
0.077,1.47847,0.136555,1.09921
0.077,1.47846,-0.136495,1.09936
0.078,1.497,0.136556,1.10112
0.078,1.49699,-0.136494,1.10127
0.079,1.51551,0.136557,1.10304
0.079,1.51551,-0.136493,1.10319
0.08,1.53402,0.136558,1.10496
0.08,1.53401,-0.136492,1.10511
0.081,1.5525,0.136559,1.10689
0.081,1.5525,-0.136491,1.10704
0.082,1.57098,0.13656,1.10882
0.082,1.57097,-0.13649,1.10897
0.083,1.58944,0.13656,1.11076
0.083,1.58943,-0.13649,1.11091
0.084,1.60788,0.136561,1.1127
0.084,1.60788,-0.136489,1.11285
0.085,1.62631,0.136562,1.11465
0.085,1.62631,-0.136488,1.1148
0.086,1.64472,0.136563,1.1166
0.086,1.64472,-0.136487,1.11675
0.087,1.66312,0.136564,1.11856
0.087,1.66312,-0.136486,1.11871
0.088,1.68151,0.136565,1.12052
0.088,1.6815,-0.136485,1.12067
0.089,1.69988,0.136566,1.12249
0.089,1.69988,-0.136484,1.12263
0.09,1.71823,0.136567,1.12446
0.09,1.71823,-0.136483,1.1246
0.091,1.73658,0.136568,1.12643
0.091,1.73657,-0.136482,1.12657
0.092,1.7549,0.136569,1.12841
0.092,1.7549,-0.136481,1.12855
0.093,1.77322,0.13657,1.13039
0.093,1.77322,-0.13648,1.13053
0.094,1.79152,0.136571,1.13237
0.094,1.79152,-0.136479,1.13251
0.095,1.8098,0.136572,1.13436
0.095,1.8098,-0.136478,1.1345
0.096,1.82807,0.136573,1.13635
0.096,1.82807,-0.136477,1.13649
0.097,1.84633,0.136574,1.13834
0.097,1.84633,-0.136476,1.13848
0.098,1.86457,0.136575,1.14034
