time,x,y,z
0,0,0.136525,1
0,0,-0.136525,1
0.001,0.019974,0.136525,1.02
0.001,0.019974,-0.136525,1.02
0.002,0.0398966,0.136525,1.04
0.002,0.0398968,-0.136525,1.04
0.003,0.0597689,0.136525,1.05999
0.003,0.0597694,-0.136525,1.05999
0.004,0.0795919,0.136525,1.07998
0.004,0.0795929,-0.136525,1.07998
0.005,0.0993667,0.136525,1.09997
0.005,0.0993683,-0.136525,1.09997
0.006,0.119094,0.136525,1.11995
0.006,0.119097,-0.136525,1.11995
0.007,0.138776,0.136525,1.13993
0.007,0.138779,-0.136525,1.13992
0.008,0.158411,0.136525,1.1599
0.008,0.158416,-0.136525,1.15989
0.009,0.178003,0.136525,1.17986
0.009,0.178008,-0.136525,1.17985
0.01,0.197551,0.136525,1.19981
0.01,0.197557,-0.136525,1.19981
0.011,0.217055,0.136525,1.21976
0.011,0.217064,-0.136525,1.21975
0.012,0.236518,0.136525,1.2397
0.012,0.236528,-0.136525,1.23969
0.013,0.25594,0.136525,1.25962
0.013,0.255951,-0.136525,1.25961
0.014,0.275321,0.136525,1.27954
0.014,0.275334,-0.136525,1.27953
0.015,0.294662,0.136525,1.29945
0.015,0.294677,-0.136525,1.29943
0.016,0.313964,0.136525,1.31934
0.016,0.313981,-0.136525,1.31933
0.017,0.333227,0.136525,1.33923
0.017,0.333247,-0.136525,1.33921
0.018,0.352453,0.136525,1.3591
0.018,0.352474,-0.136525,1.35908
0.019,0.371641,0.136525,1.37896
0.019,0.371665,-0.136525,1.37893
0.02,0.390793,0.136525,1.3988
0.02,0.390819,-0.136525,1.39878
0.021,0.409908,0.136525,1.41863
0.021,0.409937,-0.136525,1.41861
0.022,0.428988,0.136525,1.43845
0.022,0.429019,-0.136525,1.43842
0.023,0.448032,0.136525,1.45826
0.023,0.448066,-0.136525,1.45822
0.024,0.467043,0.136525,1.47805
0.024,0.467079,-0.136525,1.47801
0.025,0.486018,0.136525,1.49782
0.025,0.486058,-0.136525,1.49778
0.026,0.504961,0.136525,1.51758
0.026,0.505003,-0.136525,1.51754
0.027,0.52387,0.136525,1.53732
0.027,0.523915,-0.136525,1.53728
0.028,0.542746,0.136525,1.55705
0.028,0.542795,-0.136525,1.55701
0.029,0.56159,0.136525,1.57676
0.029,0.561642,-0.136525,1.57671
0.03,0.580403,0.136524,1.59646
0.03,0.580457,-0.136526,1.59641
0.031,0.599183,0.136524,1.61614
0.031,0.599241,-0.136526,1.61608
0.032,0.617933,0.136524,1.6358
0.032,0.617994,-0.136526,1.63574
0.033,0.636652,0.136524,1.65545
0.033,0.636716,-0.136526,1.65538
0.034,0.65534,0.136524,1.67507
0.034,0.655407,-0.136526,1.67501
0.035,0.673998,0.136524,1.69468
0.035,0.674069,-0.136526,1.69462
0.036,0.692627,0.136524,1.71428
0.036,0.692701,-0.136526,1.71421
0.037,0.711226,0.136524,1.73385
0.037,0.711303,-0.136526,1.73378
0.038,0.729796,0.136524,1.75341
0.038,0.729877,-0.136526,1.75333
0.039,0.748337,0.136524,1.77295
0.039,0.748421,-0.136526,1.77286
0.04,0.766849,0.136524,1.79247
0.04,0.766938,-0.136526,1.79238
0.041,0.785334,0.136523,1.81197
0.041,0.785426,-0.136527,1.81188
0.042,0.80379,0.136523,1.83145
0.042,0.803886,-0.136527,1.83136
0.043,0.822219,0.136523,1.85091
0.043,0.822318,-0.136527,1.85082
0.044,0.84062,0.136523,1.87036
0.044,0.840723,-0.136527,1.87026
0.045,0.858994,0.136523,1.88978
0.045,0.859101,-0.136527,1.88968
0.046,0.877341,0.136523,1.90919
0.046,0.877451,-0.136527,1.90908
0.047,0.895661,0.136523,1.92857
0.047,0.895776,-0.136527,1.92846
0.048,0.913955,0.136522,1.94794
0.048,0.914073,-0.136528,1.94783
0.049,0.932222,0.136522,1.96729
0.049,0.932344,-0.136528,1.96717
0.05,0.950464,0.136522,1.98661
0.05,0.95059,-0.136528,1.98649
0.051,0.968679,0.136522,2.00592
0.051,0.968809,-0.136528,2.0058
0.052,0.986869,0.136522,2.02521
0.052,0.987002,-0.136528,2.02508
0.053,1.00503,0.136521,2.04447
0.053,1.00517,-0.136528,2.04434
0.054,1.02317,0.136521,2.06372
0.054,1.02331,-0.136529,2.06358
0.055,1.04129,0.136521,2.08295
0.055,1.04143,-0.136529,2.08281
0.056,1.05937,0.136521,2.10215
0.056,1.05952,-0.136529,2.10201
0.057,1.07744,0.136521,2.12134
0.057,1.07759,-0.136529,2.12119
0.058,1.09548,0.13652,2.1405
0.058,1.09564,-0.13653,2.14035
0.059,1.11349,0.13652,2.15965
0.059,1.11365,-0.13653,2.15949
0.06,1.13148,0.13652,2.17877
0.06,1.13165,-0.13653,2.17861
0.061,1.14945,0.13652,2.19788
0.061,1.14962,-0.13653,2.19771
0.062,1.16739,0.136519,2.21696
0.062,1.16757,-0.136531,2.21679
0.063,1.18531,0.136519,2.23602
0.063,1.18549,-0.136531,2.23585
0.064,1.20321,0.136519,2.25506
0.064,1.20339,-0.136531,2.25489
0.065,1.22108,0.136518,2.27408
0.065,1.22126,-0.136532,2.2739
0.066,1.23892,0.136518,2.29308
0.066,1.23911,-0.136532,2.2929
0.067,1.25675,0.136518,2.31206
0.067,1.25694,-0.136532,2.31188
0.068,1.27455,0.136517,2.33102
0.068,1.27475,-0.136532,2.33083
0.069,1.29233,0.136517,2.34996
0.069,1.29253,-0.136533,2.34976
0.07,1.31008,0.136517,2.36887
0.07,1.31029,-0.136533,2.36867
0.071,1.32781,0.136516,2.38777
0.071,1.32803,-0.136534,2.38756
0.072,1.34552,0.136516,2.40664
0.072,1.34574,-0.136534,2.40643
0.073,1.36321,0.136516,2.42549
0.073,1.36343,-0.136534,2.42528
0.074,1.38088,0.136515,2.44432
0.074,1.3811,-0.136535,2.44411
0.075,1.39852,0.136515,2.46313
0.075,1.39874,-0.136535,2.46292
0.076,1.41614,0.136514,2.48192
0.076,1.41637,-0.136535,2.4817
0.077,1.43373,0.136514,2.50069
0.077,1.43397,-0.136536,2.50047
0.078,1.45131,0.136514,2.51944
0.078,1.45155,-0.136536,2.51921
0.079,1.46886,0.136513,2.53816
0.079,1.46911,-0.136537,2.53793
0.08,1.48639,0.136513,2.55687
0.08,1.48664,-0.136537,2.55663
0.081,1.5039,0.136512,2.57555
0.081,1.50415,-0.136538,2.57531
0.082,1.52139,0.136512,2.59421
0.082,1.52165,-0.136538,2.59397
0.083,1.53886,0.136511,2.61286
0.083,1.53912,-0.136538,2.61261
0.084,1.5563,0.136511,2.63148
0.084,1.55656,-0.136539,2.63122
0.085,1.57372,0.13651,2.65007
0.085,1.57399,-0.136539,2.64982
0.086,1.59112,0.13651,2.66865
0.086,1.5914,-0.13654,2.66839
0.087,1.6085,0.136509,2.68721
0.087,1.60878,-0.13654,2.68694
0.088,1.62586,0.136509,2.70574
0.088,1.62614,-0.136541,2.70547
0.089,1.6432,0.136508,2.72426
0.089,1.64348,-0.136541,2.72398
0.09,1.66052,0.136508,2.74275
0.09,1.6608,-0.136542,2.74247
0.091,1.67781,0.136507,2.76122
0.091,1.6781,-0.136543,2.76094
0.092,1.69509,0.136507,2.77967
0.092,1.69538,-0.136543,2.77939
0.093,1.71234,0.136506,2.7981
0.093,1.71264,-0.136544,2.79781
0.094,1.72957,0.136505,2.81651
0.094,1.72988,-0.136544,2.81622
0.095,1.74678,0.136505,2.8349
0.095,1.74709,-0.136545,2.8346
0.096,1.76398,0.136504,2.85326
0.096,1.76429,-0.136545,2.85296
0.097,1.78115,0.136504,2.87161
0.097,1.78146,-0.136546,2.8713
0.098,1.7983,0.136503,2.88993
