time,x,y,z
0,0,0.136355,1.00682
0,0,-0.136355,0.993182
0.001,0.0199728,0.136353,1.00685
0.001,0.0199656,-0.13636,0.993289
0.002,0.0398851,0.136344,1.00701
0.002,0.0398702,-0.136373,0.993524
0.003,0.0597382,0.136328,1.00731
0.003,0.0597155,-0.136392,0.993881
0.004,0.0795335,0.136305,1.00774
0.004,0.079503,-0.136417,0.994358
0.005,0.0992725,0.136275,1.00829
0.005,0.099234,-0.136449,0.994951
0.006,0.118956,0.136239,1.00897
0.006,0.11891,-0.136486,0.995655
0.007,0.138587,0.136197,1.00975
0.007,0.138532,-0.136529,0.996468
0.008,0.158164,0.136149,1.01065
0.008,0.158102,-0.136578,0.997386
0.009,0.17769,0.136096,1.01166
0.009,0.177621,-0.136632,0.998405
0.01,0.197166,0.136036,1.01277
0.01,0.19709,-0.136692,0.999523
0.011,0.216593,0.135972,1.01398
0.011,0.21651,-0.136757,1.00074
0.012,0.235972,0.135902,1.01529
0.012,0.235882,-0.136826,1.00204
0.013,0.255304,0.135828,1.01669
0.013,0.255207,-0.136901,1.00344
0.014,0.27459,0.135749,1.01817
0.014,0.274486,-0.13698,1.00494
0.015,0.293832,0.135665,1.01974
0.015,0.29372,-0.137065,1.00652
0.016,0.313029,0.135577,1.02139
0.016,0.31291,-0.137153,1.00818
0.017,0.332184,0.135484,1.02312
0.017,0.332056,-0.137247,1.00993
0.018,0.351296,0.135388,1.02493
0.018,0.35116,-0.137344,1.01175
0.019,0.370368,0.135287,1.02682
0.019,0.370222,-0.137446,1.01366
0.02,0.389398,0.135182,1.02877
0.02,0.389244,-0.137552,1.01564
0.021,0.408389,0.135073,1.0308
0.021,0.408225,-0.137662,1.01769
0.022,0.427341,0.134961,1.03289
0.022,0.427167,-0.137775,1.01981
0.023,0.446255,0.134845,1.03505
0.023,0.446071,-0.137892,1.022
0.024,0.465131,0.134726,1.03728
0.024,0.464937,-0.138013,1.02425
0.025,0.48397,0.134603,1.03957
0.025,0.483766,-0.138138,1.02657
0.026,0.502773,0.134476,1.04192
0.026,0.502558,-0.138265,1.02895
0.027,0.52154,0.134347,1.04433
0.027,0.521314,-0.138397,1.03139
0.028,0.540273,0.134214,1.04679
